Date,Open,High,Low,Close,Adj Close,Volume
03-10-2023,2329.949951,2335.600098,2316,2318.149902,2318.149902,4429528
04-10-2023,2309,2319,2295.100098,2314.149902,2314.149902,5143193
05-10-2023,2319.25,2329.399902,2309,2314.100098,2314.100098,5476841
06-10-2023,2317.050049,2324.800049,2312.050049,2318,2318,2715513
09-10-2023,2308.100098,2311.949951,2295,2298.25,2298.25,3788439
10-10-2023,2306.550049,2317.899902,2303.75,2308.399902,2308.399902,5118016
11-10-2023,2314.449951,2349.699951,2313,2345.050049,2345.050049,4907059
12-10-2023,2343.850098,2359.350098,2338.149902,2349.399902,2349.399902,6277225
13-10-2023,2340,2357.5,2329.149902,2349.300049,2349.300049,5075158
16-10-2023,2345,2354.550049,2336,2344.050049,2344.050049,2964518
17-10-2023,2356,2359.699951,2341.300049,2355.25,2355.25,3964090
18-10-2023,2355.25,2367,2321,2324,2324,4459160
19-10-2023,2312,2321.800049,2301,2306.149902,2306.149902,6016278
20-10-2023,2300,2314.699951,2296.300049,2299.100098,2299.100098,4456656
23-10-2023,2290,2306.25,2255.25,2263.199951,2263.199951,3926981
25-10-2023,2250.050049,2281.199951,2243,2257.949951,2257.949951,5810344
26-10-2023,2251,2258,2220.300049,2226.5,2226.5,7611267
27-10-2023,2240,2273.5,2235.949951,2265.800049,2265.800049,5885542
30-10-2023,2274,2325,2269.949951,2312.5,2312.5,8406652
31-10-2023,2328,2328,2282.899902,2287.899902,2287.899902,6404219
01-11-2023,2289.149902,2317.5,2275.199951,2297.399902,2297.399902,5154595
02-11-2023,2313.949951,2324.300049,2307.949951,2320.199951,2320.199951,5281052
03-11-2023,2327.199951,2334.949951,2315.75,2319.699951,2319.699951,4425078
06-11-2023,2332.300049,2340,2325.600098,2339,2339,5323652
07-11-2023,2334.050049,2339.100098,2319.550049,2323.800049,2323.800049,3480102
08-11-2023,2332,2341,2321.75,2335.899902,2335.899902,3942247
09-11-2023,2335.850098,2335.899902,2304.199951,2310.550049,2310.550049,7256805
10-11-2023,2305.550049,2316.350098,2298.050049,2314.899902,2314.899902,3867477
13-11-2023,2322.899902,2324.600098,2311.699951,2314.600098,2314.600098,1927405
15-11-2023,2340,2361.949951,2327,2356.449951,2356.449951,6110324
16-11-2023,2351.100098,2374.149902,2346.949951,2360.699951,2360.699951,6567455
17-11-2023,2352.899902,2373.25,2352.050049,2355.550049,2355.550049,3879317
20-11-2023,2348.550049,2358.399902,2336.399902,2349.350098,2349.350098,2245093
21-11-2023,2366,2388,2360.199951,2378.899902,2378.899902,4107225
22-11-2023,2375,2394.449951,2372.199951,2388.199951,2388.199951,4267407
23-11-2023,2388.199951,2400,2388.199951,2395.5,2395.5,4265771
24-11-2023,2391.600098,2402.600098,2391.050049,2393.899902,2393.899902,3374743
28-11-2023,2393.899902,2399.699951,2375.25,2394.399902,2394.399902,6896087
29-11-2023,2408,2411.949951,2398.050049,2400.699951,2400.699951,6265653
30-11-2023,2394.699951,2400.699951,2369.899902,2377.449951,2377.449951,14219992
01-12-2023,2378,2396.399902,2377.600098,2394.300049,2394.300049,7171421
04-12-2023,2450,2450,2398.600098,2420.199951,2420.199951,7795495
05-12-2023,2439,2440.850098,2421.649902,2437.75,2437.75,6346812
06-12-2023,2447.100098,2472.949951,2435,2461.100098,2461.100098,8211221
07-12-2023,2460,2460.949951,2442,2457.050049,2457.050049,4071048
08-12-2023,2463.850098,2476.699951,2445,2455.75,2455.75,5102447
11-12-2023,2456,2467.600098,2452.399902,2459.350098,2459.350098,3533069
12-12-2023,2460,2464.949951,2420.149902,2424.050049,2424.050049,4598562
13-12-2023,2422,2438.350098,2406.300049,2433.949951,2433.949951,5015591
14-12-2023,2454,2474.949951,2442.649902,2464.149902,2464.149902,8486177
15-12-2023,2478,2500,2470.050049,2495.600098,2495.600098,7966076
18-12-2023,2495.600098,2534.899902,2490.949951,2521,2521,7082594
19-12-2023,2555,2573.899902,2525.199951,2558.100098,2558.100098,8410302
20-12-2023,2571.050049,2598.850098,2520,2527.149902,2527.149902,8868361
21-12-2023,2527,2573.5,2518.25,2562.550049,2562.550049,6882727
22-12-2023,2559.600098,2580.899902,2547.649902,2565.050049,2565.050049,8270892
26-12-2023,2568,2591.949951,2562.699951,2578.050049,2578.050049,3732832
27-12-2023,2582,2599.899902,2573.100098,2586.850098,2586.850098,4602078
28-12-2023,2589.800049,2612,2586.850098,2605.550049,2605.550049,6151318
29-12-2023,2611.100098,2614,2579.300049,2584.949951,2584.949951,5432292
